Label,optimizing its delivery processes,implementing a new training program for sales staff,developing a new smart home system,improving the performance of a computer processor,experiencing a coup d'etat,experiencing a diplomatic row,announcing a new infrastructure project
1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1
4,0,0,0,0,1,1,0
4,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
4,0,0,0,0,1,0,0
4,1,1,0,0,0,0,0
2,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0
